/dmarker/@word	dmarker/@id	dmarker/orths/orth1/@orth1type	dmarker/orths/orth1/part1/@orth1typep1	dmarker/orths/orth1/orth1part1	dmarker/orths/orth1/part2/@orth1typep2	dmarker/orths/orth1/orth1part2	dmarker/syn/type	dmarker/syn/cat	dmarker/syn/context/mood	dmarker/syn/context/tense	dmarker/syn/modifier1	dmarker/syn/modifier2	dmarker/sem/relationl1	dmarker/sem/relationl2	dmarker/sem/relationl3	dmarker/synonym/@lexicon	dmarker/synonym/@entryid	dmarker/synonym	dmarker/examples/example1/@ex1source	dmarker/examples/example1	dmarker/examples/example2/@ex2source	dmarker/examples/example2	dmarker/examples/@ex3source	dmarker/examples/example3	dmarker/comment
tanto assim que	dm239	cont	phrasal	tanto assim que			primary connective	csu					contingency	cause	result			all the more that	CRPC	Mas a verdade é que não se basta . Tanto assim que o Sr. Ministro teve de apresentar uma proposta para se pagar uma dívida de 1 : 500 contos de exercícios findos .					
tanto mais que	dm240	cont	phrasal	tanto mais que			primary connective	csu					expansion	conjunction				all the more that	CRPC	O certo é que a polémica lança a suspeita da desonra sobre o Governo inteiro . Tanto mais que os dois ministros da « abertura » são dois intransigentes inimigos da extrema-direita e das suas teses racistas .					
tanto que	dm241	cont	phrasal	tanto que			primary connective	csu					contingency	cause	result	dimlex-en	22	so that	CRPC	Ela estava no banco dos réus , profundamente mergulhada no seu pesadelo . Tanto que , às vezes , parecia alhear -se , estudava o seu caso de fora e encontrava -lhe muito interesse .					
tirando o facto de	dm242	cont	phrasal	tirando o facto de			altlex	verb					expansion	exception	arg2-as-except			apart from the fact that	CRPC	Por outro lado , Sr. Deputado Octávio Teixeira , tirando o facto de eu não ter percebido muito bem se o PCP é oposição ou Governo , pareceume que o Sr. Deputado Octávio Teixeira era , pelo menos hoje , o 116 .					
todas as vezes que	dm243	cont	phrasal	todas as vezes que			primary connective	csu					temporal	synchronous				every time that	CRPC	Todas as vezes que nos cruzamos pergunta se estou a ter « ganhos » e atira -me com citações de LRH , porque ele « tem a resposta para todos os problemas da vida » .					
todavia	dm244	cont	single	todavia			primary connective	adv					comparison	concession	arg2-as-denier	dimlex-en	17	however	CRPC	A informação deveria ter feito parte de um trabalho realizado pelo PÚBLICO em meados de Agosto . Todavia , os dados solicitados pelo jornal ao gabinete de imprensa do Instituto de Estradas de Portugal ( IEP ) só chegaram , via fax , à delegação de Aveiro na passada sexta-feira , dia 10 de Setembro .					
um dia depois	dm245	cont	phrasal	um dia depois			altlex	unknown					temporal	asynchronous	precedence				CRPC	Um dia depois , na sequência de vários telefonemas para o serviço de clientes da TV Cabo sobre o futuro do meu modem e da Netcabo em que invariavelmente me deixam pendurada até a chamada cair , descubro , ao copiar uma disquete para outro computador , que tenho um vírus no computador .					
uma vez	dm246	cont	phrasal	uma vez			primary connective	prep		participle			temporal	asynchronous	succession	dimlex-en	0	once 	CRPC	"Uma vez ultrapassada a "" fase de admissibilidade "" , o SEF emite uma autorização de residência válida por 60 dias e renovável por 30 até ser tomada uma decisão final . "					
uma vez que	dm247	cont	phrasal	uma vez que			primary connective	csu					contingency	cause	reason	dimlex-en	34	since	CRPC	Isto para não falar da publicidade gratuita que a Irlanda tem , uma vez que o programa é visto por cerca de 300 milhões de telespectadores .					
uma vez que	dm248	cont	phrasal	uma vez que			primary connective	csu					contingency	cause+belief	reason+belief	dimlex-en	34	since	CRPC	E a conjugação desta exigência de falsificabilidade com a valorização da actividade de conjecturação permite ainda bloquear a ambição positivista de instituir critérios de sentido que excluam ou marginalizem quaisquer domínios de saber , uma vez que o sentido aparece sempre , para Popper , solidário da problematicidade que germina , sem excepção , por todas as áreas do conhecimento e da acção dos homens .					
visto 	dm249	cont	single	visto			primary connective	prep		inflected infinitive			contingency	cause	reason	dimlex-en	28	as	CRPC	A perda de terreno neste período é particularmente evidente a partir de Setembro ( inclusive ) , mas a liderança que mesmo assim conseguiu - 33 , 4 por cento , contra 29 , 8 por cento da SIC - mostra que a fórmula informação / ficção nacional se mantém válida e constitui um trunfo importante , visto tratar -se do período em que é gerada maior receita publicitária . 					
visto 	dm250	cont	single	visto			primary connective	prep		inflected infinitive			contingency	cause+belief	reason+belief	dimlex-en	28	as	CRPC	A habitação em Portugal é um assunto muito importante , visto ser um ramo que movimenta elevado número de postos de trabalho , mas é também um sector em crise .					
visto que 	dm251	cont	phrasal	visto que 			primary connective	csu					contingency	cause	reason	dimlex-en	4	because 	CRPC	Visto que o caso era tão antigo , e apesar de o Hospital de Santo António ter o serviço de sangue bem organizado , é impossível garantir , no entanto , que tenham sido localizadas todas as vítimas desta situação - ainda de acordo com informações do próprio hospital .					
visto que 	dm252	cont	phrasal	visto que 			primary connective	csu					contingency	cause+belief	reason+belief	dimlex-en	4	because 	CRPC	O importante para nós é pensar no estado do que é público hoje , visto que cada vez menos elementos são realmente públicos .					
